objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Detective: A Modern Crime Board Game","223321","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776068","7.17372","7.61602","2.7437","325","24035","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","1,2,3,4","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Deus","162082","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635002","6.9157","7.26784","2.8264","595","11601","thing","Deus","2","4","90","90","60","2014","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","asmodee; Pearl Games","English","2014","English first edition"
"Diamonds Club","37907","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635109","6.18502","7.04589","2.6145","2253","1633","thing","Diamonds Club","2","4","75","75","60","2008","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2008","German edition"
"Dice Forge","194594","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776086","7.00792","7.21406","1.9718","477","37748","thing","Dice Forge","2","4","45","45","45","2017","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Diplomacy","483","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635566","6.72405","7.03601","3.3259","855","25212","thing","Diplomacy","2","7","360","360","360","1989","6,7","7","14+","No necessary in-game text","","","","","","standalone","","Gibsons","English","1989","Gibsons Red/Orange Title first edition"
"Dixit","39856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632546","7.07064","7.18606","1.1929","416","105021","thing","Dixit","3","6","30","30","30","2010","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","Libellud","English","2010","Libellud English third edition 2010"
"Dixit: Odyssey","92828","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480912","7.14885","7.38361","1.1634","344","34074","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dobble","63268","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634191","6.36651","6.53101","1.0388","1638","48006","thing","Spot it!","2","8","15","15","15","2012","2,3,4,5,6,7","4,5","4+","No necessary in-game text","","","","","","standalone","","asmodee","Spanish","2012","Spanish edition 2012"
"Dominant Species","62219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479050","7.55793","7.80438","4.0408","108","24401","thing","Dominant Species","2","6","240","240","120","2010","3,4,5,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion","36218","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53022023","7.47478","7.59715","2.3457","142","128093","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion: Intrigue","40834","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53022025","7.50344","7.6862","2.4111","132","50848","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion: Seaside","51811","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53022028","7.65656","8.01355","2.4904","0","35391","thing","Dominion: Seaside","2","4","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Don","1376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638342","5.74054","6.22757","1.6641","5465","1653","thing","Serengeti","3","6","30","30","25","2001","3,4,5,6","4","10+","No necessary in-game text","","","","","","standalone","","Queen Games","German","2001","German-only edition"
"Don Quixote","65990","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480571","5.63056","6.12341","1.6316","7904","892","thing","Don Quixote","1","4","20","20","20","2010","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dr. Eureka","181345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637411","6.16863","6.54808","1.0588","2307","7549","thing","Dr. Eureka","2","4","15","15","15","2016","2,3,4","3,4","6+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","German","2016","German-only first edition"
"Dragon Castle","232219","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","53215828","6.71994","7.10257","1.9935","862","12037","thing","Dragon Castle","1","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dragon's Gold","1042","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479365","6.03844","6.42688","1.6943","2899","4933","thing","Dragon's Gold","3","6","45","45","45","2001","3,4,5,6","6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Drako: Dragon & Dwarves","102237","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479504","6.10289","6.66853","1.7643","2598","3512","thing","Drako: Dragon & Dwarves","2","2","30","30","30","2011","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dream Home","194880","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637304","6.5069","6.85933","1.6548","1275","11992","thing","Dream Home","2","4","30","30","30","2016","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","asmodee; Rebel Sp. z o.o.","English","2016","English edition"
"The Duke","36235","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480080","6.65006","7.30325","2.4818","988","6888","thing","The Duke","2","2","30","30","30","2013","2","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Dungeon Petz","97207","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775864","7.12214","7.38671","3.6307","364","20710","thing","Dungeon Petz","2","4","90","90","90","2011","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Dungeon Roll","138788","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481345","5.90722","6.08238","1.3319","3723","15737","thing","Dungeon Roll","1","4","30","30","15","2013","1,2,3","2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Durch die Wüste","503","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636043","6.95272","7.17037","2.1645","548","19881","thing","Through the Desert","2","5","45","45","45","1998","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","1998","German edition 1998 with SdJ nominee"
"DVONN","2346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633997","6.86186","7.4462","2.6508","657","7625","thing","DVONN","2","2","30","30","30","2001","2","2","10+","No necessary in-game text","","","","","","standalone","","Don & Co.; Rio Grande Games","Dutch; English; French; German; Italian; Spanish","2001","Don & Co first edition"
"Eclipse: New Dawn for the Galaxy","72125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478932","7.59319","7.81923","3.706","98","28248","thing","Eclipse: New Dawn for the Galaxy","2","6","180","180","60","2011","2,3,4,5,6","4,6","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Eight-Minute Empire: Legends","142326","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479310","6.48071","6.9074","1.9615","1339","8350","thing","Eight-Minute Empire: Legends","2","4","20","20","8","2013","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Elchfest","403","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632970","5.79396","6.1681","1.0484","4768","2454","thing","Elk Fest","2","2","15","15","15","1999","2","2","5+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","1999","KOSMOS German edition"
"Elder Sign","100423","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58798620","6.77914","6.96757","2.3447","771","43673","thing","Elder Sign","1","8","90","90","90","2011","1,2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Eldritch Horror","146021","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775703","7.49528","7.74332","3.3202","133","59137","thing","Eldritch Horror","1","8","240","240","120","2013","1,2,3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Der Elefant im Porzellanladen","24770","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637917","5.70663","6.19158","1.4242","6029","1387","thing","Quietville","3","5","30","30","30","2006","3,4","3","8+","No necessary in-game text","","","","","","standalone","","AMIGO","German","2006","AMIGO German second edition"
"Elfenland","10","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479537","6.42276","6.67497","2.1507","1485","11829","thing","Elfenland","2","6","60","60","60","1998","3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Emerald","3452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635786","5.80515","6.33456","1.6643","4631","1704","thing","Emerald","2","5","45","45","45","2002","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE","English; French; German","2002","English/French/German edition"
"Eminent Domain","68425","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480186","6.69382","6.96756","2.5118","908","13901","thing","Eminent Domain","2","4","45","45","45","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Empire Engine","145928","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50637995","5.54876","5.67529","1.6786","13110","2557","thing","Empire Engine","2","4","30","30","30","2013","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Empires: Age of Discovery","173442","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58651945","6.66902","7.82315","3.3125","947","3222","thing","Empires: Age of Discovery","2","6","150","150","50","2015","3,4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"En Garde","169","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51482228","5.92812","6.50355","1.3876","3578","2280","thing","En Garde","2","2","30","30","20","1993","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Endeavor","33160","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634984","6.99748","7.37025","2.9097","489","7585","thing","Endeavor","3","5","90","90","90","2009","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","Z-Man Games","English","2009","English edition"
"Equinox","131121","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","51481122","5.6059","6.52323","1.9231","8907","503","thing","Equinox","2","2","25","25","25","2012","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Escalation!","26884","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638038","5.58702","5.8208","1.0667","9907","1190","thing","Escalation!","2","6","15","15","15","2007","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Z-Man Games","English","2007","English edition"
"Escape: Der Fluch des Tempels","113294","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635994","6.75348","6.95014","1.4781","806","22012","thing","Escape: The Curse of the Temple","1","5","10","10","10","2012","1,2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","Queen Games","German","2012","German edition"
"Euphoria: Build a Better Dystopia","133848","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633306","6.8569","7.16611","3.1151","667","15328","thing","Euphoria: Build a Better Dystopia","2","6","60","60","60","2013","2,3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Stonemaier Games","English","2013","English kickstarter deluxe edition"
"Euphrat & Tigris","42","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635425","7.5081","7.7038","3.4808","127","32187","thing","Tigris & Euphrates","2","4","120","120","60","2007","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","German","2007","Pegasus German edition 2007"
"Ex Libris","201825","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","55060892","6.67839","7.11411","2.5321","930","11034","thing","Ex Libris","1","4","45","45","45","2017","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Exploradores","50","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634723","7.14901","7.25462","1.4747","343","74258","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","Devir","Portuguese; Spanish","1999","Spanish/Portuguese first edition"
"Fabled Fruit","203427","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636705","6.57873","6.98272","1.6056","1125","9604","thing","Fabled Fruit","2","5","30","30","20","2016","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Stronghold Games","English","2016","English edition"
"Famiglia","81453","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638060","6.02709","6.42462","1.7639","2958","4855","thing","Famiglia","1","2","30","30","30","2010","2","2","10+","No necessary in-game text","","","","","","standalone","","2F-Spiele","German","2010","German edition"
"Familienbande","11081","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480623","5.69705","6.38496","1.6324","6210","673","thing","Familienbande","2","4","20","20","20","2004","2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Le Fantôme de l'Opéra","145645","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636753","5.99241","6.97941","2.2105","3156","1752","thing","Le Fantôme de l'Opéra","2","2","30","30","30","2013","2","2","8+","No necessary in-game text","","","","","","standalone","","Hurrican","Dutch; English; French; German","2013","Dutch/English/French/German edition"
"Fast Lane","66047","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479698","5.50128","5.62208","1","24610","96","thing","Fast Lane","2","6","10","10","10","2010","","","5–12","No necessary in-game text","","","","","","standalone","","","","",""
"A Feast for Odin","177736","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58707989","7.94253","8.16474","3.8637","24","42200","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Felix: The Cat in the Sack","32125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634150","6.22398","6.56796","1.3975","2097","6087","thing","Felicity: The Cat in the Sack","3","5","20","20","20","2007","3,4,5","5","8+","No necessary in-game text","","","","","","standalone","","Rio Grande Games","English","2007","English edition"
"Fields of Arle","159675","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480343","7.59671","8.02619","3.8414","97","18428","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Fila Filo","171129","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636069","5.90184","6.47024","1.194","3769","3484","thing","Spinderella","2","4","20","20","20","2015","2,3,4","3,4","5+","No necessary in-game text","","","","","","standalone","","Devir","Catalan; Portuguese; Spanish","2015","Iberian edition"
"Finito!","34166","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480111","5.66214","6.10581","1.1059","7010","679","thing","Finito!","2","4","20","20","20","2008","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"FITS","40393","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635745","6.13965","6.57929","1.3897","2431","3774","thing","FITS","1","4","45","45","45","2009","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2009","German edition with SdJ mark"
"FITS","40393","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635750","6.13965","6.57929","1.3897","2431","3774","thing","FITS","1","4","45","45","45","2009","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2009","German first edition"
"Five Tribes: The Djinns of Naqala","157354","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775700","7.61042","7.76485","2.838","93","58540","thing","Five Tribes: The Djinns of Naqala","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Fleet","121297","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58798354","6.41852","6.82215","2.2392","1498","7028","thing","Fleet","2","4","45","45","30","2012","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Der Fliegende Holländer","305","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635781","5.58578","6.11055","2.4762","9979","851","thing","Der Fliegende Holländer","3","6","60","60","60","1992","3,4,5,6","4,5","14+","No necessary in-game text","","","","","","standalone","","Parker Spiele","German","1992","Parker German edition 1992"
"FlowerFall","125315","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481303","5.62582","5.96338","1.0426","8062","1211","thing","FlowerFall","2","7","10","10","10","2012","2,3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Fluch der Mumie","36648","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636220","6.17361","6.88035","1.3707","2285","3263","thing","Pyramid of Pengqueen","2","5","45","45","30","2008","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","Ravensburger","German","2008","German edition"
"Flussfieber","38548","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635792","5.92107","6.49164","1.5248","3631","1965","thing","Fast Flowing Forest Fellers","2","5","30","30","30","2008","2,3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","2F-Spiele","German","2008","German edition"
"For Sale","172","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480878","7.13836","7.26413","1.2508","351","42717","thing","For Sale","3","6","30","30","30","1997","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"For The Win","114871","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481949","5.53919","5.72182","1.8387","14483","1231","thing","For The Win","2","2","10","10","10","2012","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Forbidden Desert","136063","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","51686261","6.91604","7.06343","2.0408","594","57741","thing","Forbidden Desert","2","5","45","45","45","2013","1,2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Forbidden Island","65244","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479541","6.64257","6.75139","1.7393","1006","98824","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Formula D","37904","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632654","6.79407","6.99154","1.9663","746","27947","thing","Formula D","2","10","60","60","60","2014","3,4,5,6,7,8,9,10","5,6,7,8","8+","No necessary in-game text","","","","","","standalone","","asmodee","French","2014","French second edition 2014"
"Eine Frage der Ähre","30356","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635230","5.83648","6.83175","2.0938","4330","910","thing","Heartland","2","5","60","60","45","2009","2,3,4,5","2,4","8+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","English; German","2009","Yellow box edition 2009"
"Freeze","76728","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480736","5.5692","7.07981","1.1111","11135","192","thing","Freeze","4","10","30","30","30","2010","4,5,6,7,8,9,10","8","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Fresco","66188","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478990","6.97265","7.24107","2.6389","517","16644","thing","Fresco","2","4","60","60","60","2010","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Friday","43570","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52335804","6.92913","7.11157","2.1534","574","40921","thing","Friday","1","1","25","25","25","2011","1","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Fun Farm","145501","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636136","5.62635","6.28362","1.0455","8044","902","thing","Fun Farm","2","10","15","15","15","2014","2,3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","Heidelberger Spieleverlag; Post Scriptum","German","2014","German edition"
"Fungi","122298","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636953","6.65667","6.9754","1.739","971","18850","thing","Morels","2","2","30","30","30","2014","2","2","10+","No necessary in-game text","","","","","","standalone","","Pegasus Spiele; Two Lanterns Games","English; German","2014","English/German edition 2014"
"Funkenschlag","2651","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635194","7.68367","7.79988","3.2486","73","85284","thing","Power Grid","2","6","120","120","120","2012","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","2F-Spiele","German","2012","German second edition, second printing"
"Fury of Dracula (Third/Fourth Edition)","181279","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58775876","7.09828","7.39866","3.2804","389","26098","thing","Fury of Dracula (Third/Fourth Edition)","2","5","180","180","120","2015","2,3,4,5","3,5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Galaxy Trucker","31481","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481792","7.18922","7.32669","2.329","310","39707","thing","Galaxy Trucker","2","4","60","60","60","2007","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Gambler","1459","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636805","5.84187","6.43757","1.2414","4278","2557","thing","Sharp Shooters","2","6","45","45","30","1998","2,3,4,5,6","3,4","8+","No necessary in-game text","","","","","","standalone","","F.X. Schmid","Dutch; English; French; German; Italian","1998","F.X. Schmid multilingual edition 1998"
"A Game of Thrones: Hand of the King","205610","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481539","6.19731","6.57897","1.2233","2202","9293","thing","A Game of Thrones: Hand of the King","2","4","30","30","15","2016","2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58651955","7.30598","7.53053","3.7377","229","51810","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Game of Thrones: The Card Game (Second Edition)","169255","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58219740","6.78122","7.48886","3.5294","766","9944","thing","A Game of Thrones: The Card Game (Second Edition)","2","4","120","120","60","2015","2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Game: Juega... ¡mientras puedas!","173090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638073","6.50201","6.7138","1.2361","1290","24552","thing","The Game","1","5","20","20","20","2015","1,2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Morapiaf","Portuguese; Spanish","0","Spanish/Portuguese edition"
"Geistesblitz 2.0","118705","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50634156","6.04335","6.73713","1.1765","2883","4122","thing","Ghost Blitz 2","2","8","30","30","30","2012","2,3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","Zoch Verlag","English; French; German; Italian","2012","Multilingual first edition"
"Gemblo","19427","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50636273","6.00835","6.77391","1.8451","3061","1919","thing","Gemblo","2","6","30","30","30","2009","2,3,4,6","4,6","8+","No necessary in-game text","","","","","","standalone","","Schmidt Spiele","French; German; Italian","2009","Schmidt edition"
"Genoa","1345","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","52640493","6.59817","7.04279","3.0725","1073","8060","thing","Genoa","2","5","120","120","60","2001","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Get Bit! Deluxe Tin Edition","30539","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50638421","5.95705","6.13415","1.1182","3374","12270","thing","Get Bit!","2","7","20","20","10","2013","3,4,5,6","5,6","6+","No necessary in-game text","","","","","","standalone","","Mayday Games","English","2013","English fourth edition"
"Ghost Blitz","83195","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479689","6.43113","6.70566","1.1328","1468","18823","thing","Ghost Blitz","2","8","20","20","20","2010","2,3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Ghost Stories","37046","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481745","7.04868","7.25463","2.9049","440","28438","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Gift Trap","23686","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51482004","5.96301","6.40193","1.2405","3337","3311","thing","Gift Trap","3","8","60","60","60","2006","4,5,6,7,8","5,6","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Gizmos","246192","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","58776408","7.07431","7.365","2.0474","412","18323","thing","Gizmos","2","4","50","50","40","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Glen More","66362","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50632853","6.94191","7.29247","2.6672","561","8548","thing","Glen More","2","5","60","60","60","2010","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","alea; Ravensburger","German","2010","Ravensburger/Alea German edition"
"Gloobz","156457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54856427","5.61365","6.2025","1.0714","8551","826","thing","Gloobz","2","6","20","20","20","2014","2,3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Gloria Picktoria","247","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51478526","5.77238","6.33741","1.3969","5031","2259","thing","Gloria Picktoria","2","5","45","45","45","1996","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Glory to Rome","19857","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480771","7.21611","7.49417","2.9328","288","16058","thing","Glory to Rome","2","5","60","60","60","2005","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Go go Gelato","217553","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50633123","5.64695","6.27381","1","7395","1000","thing","Go Go Gelato!","2","4","15","15","15","2018","2,3,4","3,4","5–12","No necessary in-game text","","","","","","standalone","","Pegasus Spiele","German","2018","German-only edition"
"Goa","9216","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51480304","7.19726","7.55397","3.3659","302","11655","thing","Goa","2","4","90","90","90","2004","2,3,4","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Gobbit","132620","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51479870","5.71428","6.47417","1.2727","5894","1681","thing","Gobbit","2","8","20","20","10","2012","3,4,5,6,7,8","4,5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"The Golden Ages","164338","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","51481702","6.40112","7.23995","2.8947","1549","3248","thing","The Golden Ages","2","4","90","90","60","2014","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Die Goldene Stadt","40770","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50635934","5.89387","6.56134","2.256","3837","2111","thing","The Golden City","3","4","60","60","60","2009","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","KOSMOS","German","2009","German edition"
